variable_code,variable_name,chem_category,unit,observations,n_sites,first_record_utc,last_record_utc
abs250,UV Absorbance at 250nm,NA,unitless,32458,27,2014-10-22T00:00:00Z,2019-12-20T00:00:00Z
abs254,UV Absorbance at 254nm,NA,unitless,55396,36,2001-07-20T00:00:00Z,2020-10-29T00:00:00Z
abs280,UV Absorbance at 280nm,NA,unitless,40693,27,2014-10-22T00:00:00Z,2020-10-29T00:00:00Z
Ag,Silver,precip_conc,mg/L,39611,26,2011-03-29T00:00:00Z,2019-07-30T00:00:00Z
Ag,Silver,stream_conc,mg/L,81958,34,2005-09-27T00:00:00Z,2020-12-02T00:00:00Z
Al,Aluminum,precip_conc,mg/L,45267,30,2011-03-29T00:00:00Z,2019-07-30T00:00:00Z
Al,Aluminum,stream_conc,mg/L,256131,86,1993-01-18T00:00:00Z,2020-12-02T00:00:00Z
Al_ICP,Aluminum ICP,precip_conc,mg/L,25272,9,2012-09-11T00:00:00Z,2020-05-19T00:00:00Z
Al_ICP,Aluminum ICP,stream_conc,mg/L,123787,11,1964-03-17T00:00:00Z,2020-05-27T00:00:00Z
alk,Alkalinity,precip_conc,mg/L,111434,18,1969-02-04T00:00:00Z,2019-09-11T00:00:00Z
alk,Alkalinity,stream_conc,mg/L,214796,79,1968-10-09T00:00:00Z,2021-05-13T00:00:00Z
ANC,Acid Neutralizing Capacity,precip_conc,eq/L,3650,10,2020-01-02T00:00:00Z,2020-12-31T00:00:00Z
ANC,Acid Neutralizing Capacity,stream_conc,eq/L,119443,48,1982-02-12T00:00:00Z,2021-05-13T00:00:00Z
ANC960,Acid Neutralizing Capacity 960,precip_conc,ueq/L,405,9,2013-04-15T00:00:00Z,2013-05-29T00:00:00Z
ANC960,Acid Neutralizing Capacity 960,stream_conc,ueq/L,88428,11,1990-01-15T00:00:00Z,2017-09-19T00:00:00Z
AnCaR,Anion-Cation Ratio,NA,unitless,83617,10,1978-10-12T00:00:00Z,2019-05-22T00:00:00Z
ANCMet,Acid Neutralizing Capacity Met,stream_conc,ueq/L,21056,11,2015-02-17T00:00:00Z,2020-05-27T00:00:00Z
anionCharge,TOTAL Anion Charge,precip_conc,ueq/L,167265,9,1969-07-02T00:00:00Z,2020-05-19T00:00:00Z
anionCharge,TOTAL Anion Charge,stream_conc,ueq/L,96563,40,1973-07-01T00:00:00Z,2020-11-06T00:00:00Z
As,Arsenic,precip_conc,mg/L,39611,26,2011-03-29T00:00:00Z,2019-07-30T00:00:00Z
As,Arsenic,stream_conc,mg/L,96539,34,1994-01-24T00:00:00Z,2020-12-02T00:00:00Z
Au,Gold,stream_conc,mg/L,8606,4,2007-03-22T00:00:00Z,2019-08-13T00:00:00Z
B,Boron,precip_conc,mg/L,39611,26,2011-03-29T00:00:00Z,2019-07-30T00:00:00Z
B,Boron,stream_conc,mg/L,125985,45,1994-01-24T00:00:00Z,2020-12-02T00:00:00Z
Ba,Barium,precip_conc,mg/L,39611,26,2011-03-29T00:00:00Z,2019-07-30T00:00:00Z
Ba,Barium,stream_conc,mg/L,130908,42,2003-03-13T00:00:00Z,2020-12-02T00:00:00Z
Be,Beryllium,precip_conc,mg/L,39611,26,2011-03-29T00:00:00Z,2019-07-30T00:00:00Z
Be,Beryllium,stream_conc,mg/L,114078,37,2003-05-14T00:00:00Z,2020-12-02T00:00:00Z
Bi,Bismuth,precip_conc,mg/L,13,13,2018-06-13T00:00:00Z,2018-06-13T00:00:00Z
Bi,Bismuth,stream_conc,mg/L,23871,10,2007-01-31T00:00:00Z,2020-12-02T00:00:00Z
BPC,Benthic Particulate Carbon,NA,mg/cm2,159972,33,1991-07-17T00:00:00Z,2018-08-31T00:00:00Z
BPN,Benthic Particulate Nitrogen,NA,mg/cm2,162058,33,1991-07-17T00:00:00Z,2018-08-31T00:00:00Z
BPP,Benthic Particulate Phosphorus,NA,mg/cm2,146818,33,1994-06-20T00:00:00Z,2018-08-31T00:00:00Z
Br,Bromide,precip_conc,mg/L,49384,30,2008-03-25T00:00:00Z,2019-09-21T00:00:00Z
Br,Bromide,stream_conc,mg/L,219228,98,1993-03-01T00:00:00Z,2020-12-02T00:00:00Z
Ca,Calcium,precip_conc,mg/L,431229,77,1968-10-21T00:00:00Z,2020-12-31T00:00:00Z
Ca,Calcium,stream_conc,mg/L,1111900,251,1963-06-02T00:00:00Z,2020-12-02T00:00:00Z
cationCharge,TOTAL Cation Charge,precip_conc,ueq/L,165555,9,1970-01-08T00:00:00Z,2020-05-19T00:00:00Z
cationCharge,TOTAL Cation Charge,stream_conc,ueq/L,93759,40,1973-07-01T00:00:00Z,2020-11-06T00:00:00Z
Cd,Cadmium,precip_conc,mg/L,10660,26,2011-08-04T00:00:00Z,2018-06-13T00:00:00Z
Cd,Cadmium,stream_conc,mg/L,109193,43,1993-07-23T00:00:00Z,2020-12-02T00:00:00Z
Ce,Cerium,precip_conc,mg/L,39611,26,2011-03-29T00:00:00Z,2019-07-30T00:00:00Z
Ce,Cerium,stream_conc,mg/L,101755,22,2003-03-13T00:00:00Z,2020-12-02T00:00:00Z
CH4,Methane,NA,ppm,1253,3,2008-05-26T00:00:00Z,2010-08-12T00:00:00Z
CH4_C,Methane-C,stream_conc,mg/L,24008,13,2015-06-30T00:00:00Z,2020-12-02T00:00:00Z
CHL,Chlorophyll,stream_conc,mg/L,106012,50,1994-03-29T00:00:00Z,2017-08-26T00:00:00Z
Cl,Chloride,precip_conc,mg/L,393348,77,1969-12-17T00:00:00Z,2020-12-31T00:00:00Z
Cl,Chloride,stream_conc,mg/L,1160422,275,1964-03-17T00:00:00Z,2020-11-06T00:00:00Z
Co,Cobalt,precip_conc,mg/L,39611,26,2011-03-29T00:00:00Z,2019-07-30T00:00:00Z
Co,Cobalt,stream_conc,mg/L,110641,35,1993-07-23T00:00:00Z,2020-12-02T00:00:00Z
CO2,Carbon Dioxide,NA,ppm,2448,6,2008-05-26T00:00:00Z,2010-08-12T00:00:00Z
CO2_C,Carbon Dioxide-C,stream_conc,mg/L,23694,13,2015-06-30T00:00:00Z,2020-10-20T00:00:00Z
CO3,Carbonate,stream_conc,mg/L,34945,27,2014-10-22T00:00:00Z,2020-03-20T00:00:00Z
Cr,Chromium,precip_conc,mg/L,39611,26,2011-03-29T00:00:00Z,2019-07-30T00:00:00Z
Cr,Chromium,stream_conc,mg/L,147850,46,1993-07-23T00:00:00Z,2020-12-02T00:00:00Z
Cs,Caesium,precip_conc,mg/L,13,13,2018-06-13T00:00:00Z,2018-06-13T00:00:00Z
Cs,Caesium,stream_conc,mg/L,45181,25,2007-01-31T00:00:00Z,2020-12-02T00:00:00Z
Cu,Copper,precip_conc,mg/L,39611,26,2011-03-29T00:00:00Z,2019-07-30T00:00:00Z
Cu,Copper,stream_conc,mg/L,156952,46,1993-07-23T00:00:00Z,2020-12-02T00:00:00Z
d18O,Delta 18 Oxygen,NA,ppt,63696,40,1998-06-12T00:00:00Z,2020-02-19T00:00:00Z
deuterium,Deuterium,NA,unitless,23617,15,2014-06-27T00:00:00Z,2020-02-19T00:00:00Z
DIC,Dissolved Inorganic Carbon,stream_conc,mg/L,240961,86,1983-07-05T00:00:00Z,2020-12-02T00:00:00Z
DIN,Dissolved Inorganic Nitrogen,stream_conc,mg/L,1796,4,2008-04-02T00:00:00Z,2009-06-24T00:00:00Z
discharge,Discharge,NA,L/s,1688255,214,1949-10-01T00:00:00Z,2021-07-27T00:00:00Z
DO,Dissolved Oxygen,stream_conc,mg/L,71850,29,2001-06-22T00:00:00Z,2021-07-27T00:00:00Z
DO_sat,Dissolved Oxygen Percent Saturation,NA,%,24021,15,2001-06-22T00:00:00Z,2018-11-06T00:00:00Z
DOC,Dissolved Organic Carbon,precip_conc,mg/L,206616,30,1983-11-28T00:00:00Z,2020-05-19T00:00:00Z
DOC,Dissolved Organic Carbon,stream_conc,mg/L,885882,227,1978-05-20T00:00:00Z,2021-04-22T00:00:00Z
DON,Dissolved Organic Nitrogen,precip_conc,mg/L,171021,23,1968-10-21T00:00:00Z,2020-05-19T00:00:00Z
DON,Dissolved Organic Nitrogen,stream_conc,mg/L,242405,67,1968-10-09T00:00:00Z,2020-05-27T00:00:00Z
DOP,Dissolved Organic Phosphorus,precip_conc,mg/L,228,4,2011-06-21T00:00:00Z,2011-08-16T00:00:00Z
DOP,Dissolved Organic Phosphorus,stream_conc,mg/L,55419,30,1993-09-21T00:00:00Z,2020-11-06T00:00:00Z
Dy,Dysprosium,precip_conc,mg/L,39611,26,2011-03-29T00:00:00Z,2019-07-30T00:00:00Z
Dy,Dysprosium,stream_conc,mg/L,60648,19,2005-09-27T00:00:00Z,2020-12-02T00:00:00Z
E_pheophy,Epilithic Phaeophytin,NA,mg/cm2,79007,27,2004-06-18T00:00:00Z,2018-08-31T00:00:00Z
ECHL_A,Epilithic Chlorophyll a,NA,mg/cm2,80339,27,2004-06-18T00:00:00Z,2018-08-31T00:00:00Z
Ecoli,Escherichia coli,NA,#/mL,11567,13,2001-10-03T00:00:00Z,2016-06-16T00:00:00Z
Er,Erbium,precip_conc,mg/L,39611,26,2011-03-29T00:00:00Z,2019-07-30T00:00:00Z
Er,Erbium,stream_conc,mg/L,60648,19,2005-09-27T00:00:00Z,2020-12-02T00:00:00Z
Eu,Europium,precip_conc,mg/L,39611,26,2011-03-29T00:00:00Z,2019-07-30T00:00:00Z
Eu,Europium,stream_conc,mg/L,122868,37,2003-03-13T00:00:00Z,2020-12-02T00:00:00Z
F,Fluorine,precip_conc,mg/L,65728,35,1998-04-26T00:00:00Z,2020-05-19T00:00:00Z
F,Fluorine,stream_conc,mg/L,424507,133,1993-01-18T00:00:00Z,2020-05-27T00:00:00Z
Fe,Iron,precip_conc,mg/L,64887,39,2011-03-29T00:00:00Z,2020-05-19T00:00:00Z
Fe,Iron,stream_conc,mg/L,275621,115,1993-01-18T00:00:00Z,2020-12-02T00:00:00Z
Ga,Gallium,precip_conc,mg/L,13,13,2018-06-13T00:00:00Z,2018-06-13T00:00:00Z
Ga,Gallium,stream_conc,mg/L,23871,10,2007-01-31T00:00:00Z,2020-12-02T00:00:00Z
Gd,Gadolinium,precip_conc,mg/L,13,13,2018-06-13T00:00:00Z,2018-06-13T00:00:00Z
Gd,Gadolinium,stream_conc,mg/L,23871,10,2007-01-31T00:00:00Z,2020-12-02T00:00:00Z
Gd157,Gadolinium-157,precip_conc,mg/L,39598,13,2011-03-29T00:00:00Z,2019-07-30T00:00:00Z
Gd157,Gadolinium-157,stream_conc,mg/L,36777,9,2005-09-27T00:00:00Z,2019-07-24T00:00:00Z
Ge,Germanium,stream_conc,mg/L,44763,25,2007-01-31T00:00:00Z,2020-12-02T00:00:00Z
H,Hydrogen,precip_conc,mg/L,2092,4,2012-05-25T00:00:00Z,2013-10-29T00:00:00Z
H,Hydrogen,stream_conc,mg/L,60162,25,1982-02-12T00:00:00Z,2020-11-06T00:00:00Z
HCO3,Bicarbonate,stream_conc,mg/L,41883,35,1976-11-04T00:00:00Z,2020-03-20T00:00:00Z
Hf,Hafnium,stream_conc,mg/L,23871,10,2007-01-31T00:00:00Z,2020-12-02T00:00:00Z
Hg,Mercury,precip_conc,mg/L,13,13,2018-06-13T00:00:00Z,2018-06-13T00:00:00Z
Hg,Mercury,stream_conc,mg/L,23703,10,2007-03-14T00:00:00Z,2020-12-02T00:00:00Z
Ho,Holmium,precip_conc,mg/L,39611,26,2011-03-29T00:00:00Z,2019-07-30T00:00:00Z
Ho,Holmium,stream_conc,mg/L,60648,19,2005-09-27T00:00:00Z,2020-12-02T00:00:00Z
I,Iodine,precip_conc,mg/L,13,13,2018-06-13T00:00:00Z,2018-06-13T00:00:00Z
I,Iodine,stream_conc,mg/L,23871,10,2007-01-31T00:00:00Z,2020-12-02T00:00:00Z
ionBalance,Ion Balance,precip_conc,ueq/L,165555,9,1970-01-08T00:00:00Z,2020-05-19T00:00:00Z
ionBalance,Ion Balance,stream_conc,ueq/L,76189,23,1973-07-01T00:00:00Z,2020-11-06T00:00:00Z
ionError,Ion Error,NA,%,208186,11,1970-01-08T00:00:00Z,2020-05-27T00:00:00Z
Ir,Iridium,stream_conc,mg/L,2,2,2007-10-03T00:00:00Z,2011-05-09T00:00:00Z
K,Potassium,precip_conc,mg/L,431398,77,1968-10-21T00:00:00Z,2020-12-31T00:00:00Z
K,Potassium,stream_conc,mg/L,1099384,248,1963-06-02T00:00:00Z,2020-12-02T00:00:00Z
La,Lanthanum,precip_conc,mg/L,39611,26,2011-03-29T00:00:00Z,2019-07-30T00:00:00Z
La,Lanthanum,stream_conc,mg/L,105608,22,2003-03-13T00:00:00Z,2020-12-02T00:00:00Z
Li,Lithium,precip_conc,mg/L,13,13,2018-06-13T00:00:00Z,2018-06-13T00:00:00Z
Li,Lithium,stream_conc,mg/L,272990,63,1993-07-23T00:00:00Z,2020-12-02T00:00:00Z
Lu,Lutetium,precip_conc,mg/L,39611,26,2011-03-29T00:00:00Z,2019-07-30T00:00:00Z
Lu,Lutetium,stream_conc,mg/L,60648,19,2005-09-27T00:00:00Z,2020-12-02T00:00:00Z
MF_N,Moss: Fontinalis: Nitrogen,NA,%,4472,3,1998-06-12T00:00:00Z,2009-07-22T00:00:00Z
MF_P,Moss: Fontinalis: Phosphorus,NA,%,792,2,1998-06-12T00:00:00Z,1999-07-25T00:00:00Z
Mg,Magnesium,precip_conc,mg/L,431344,77,1968-10-21T00:00:00Z,2020-12-31T00:00:00Z
Mg,Magnesium,stream_conc,mg/L,1101081,248,1963-06-02T00:00:00Z,2020-12-02T00:00:00Z
MH_Al,Moss: Hygrohypnum: Aluminum,NA,%,3607,3,2007-07-30T00:00:00Z,2015-07-21T00:00:00Z
MH_B,Moss: Hygrohypnum: Boron,NA,%,3607,3,2007-07-30T00:00:00Z,2015-07-21T00:00:00Z
MH_C,Moss: Hygrohypnum: Carbon,NA,%,30631,7,1996-08-12T00:00:00Z,2015-07-21T00:00:00Z
MH_Ca,Moss: Hygrohypnum: Calcium,NA,%,3607,3,2007-07-30T00:00:00Z,2015-07-21T00:00:00Z
MH_Cu,Moss: Hygrohypnum: Copper,NA,%,3607,3,2007-07-30T00:00:00Z,2015-07-21T00:00:00Z
MH_Fe,Moss: Hygrohypnum: Iron,NA,%,3607,3,2007-07-30T00:00:00Z,2015-07-21T00:00:00Z
MH_K,Moss: Hygrohypnum: Potassium,NA,%,3607,3,2007-07-30T00:00:00Z,2015-07-21T00:00:00Z
MH_Mg,Moss: Hygrohypnum: Magnesium,NA,%,3607,3,2007-07-30T00:00:00Z,2015-07-21T00:00:00Z
MH_Mn,Moss: Hygrohypnum: Manganese,NA,%,3607,3,2007-07-30T00:00:00Z,2015-07-21T00:00:00Z
MH_N,Moss: Hygrohypnum: Nitrogen,NA,%,38171,8,1995-06-22T00:00:00Z,2015-07-21T00:00:00Z
MH_Na,Moss: Hygrohypnum: Sodium,NA,%,3607,3,2007-07-30T00:00:00Z,2015-07-21T00:00:00Z
MH_P,Moss: Hygrohypnum: Phosphorus,NA,%,38171,8,1995-06-22T00:00:00Z,2015-07-21T00:00:00Z
MH_S,Moss: Hygrohypnum: Sulfur,NA,%,3607,3,2007-07-30T00:00:00Z,2015-07-21T00:00:00Z
Mn,Manganese,precip_conc,mg/L,67807,39,2011-03-29T00:00:00Z,2020-05-19T00:00:00Z
Mn,Manganese,stream_conc,mg/L,274388,115,1993-01-18T00:00:00Z,2020-12-02T00:00:00Z
Mo,Molybdenum,precip_conc,mg/L,39611,26,2011-03-29T00:00:00Z,2019-07-30T00:00:00Z
Mo,Molybdenum,stream_conc,mg/L,95950,34,1994-01-24T00:00:00Z,2020-12-02T00:00:00Z
MS_Al,Moss: Schistidium: Aluminum,NA,%,10114,7,2007-07-30T00:00:00Z,2015-07-21T00:00:00Z
MS_B,Moss: Schistidium: Boron,NA,%,10114,7,2007-07-30T00:00:00Z,2015-07-21T00:00:00Z
MS_C,Moss: Schistidium: Carbon,NA,%,27385,10,1996-08-13T00:00:00Z,2015-07-21T00:00:00Z
MS_Ca,Moss: Schistidium: Calcium,NA,%,10114,7,2007-07-30T00:00:00Z,2015-07-21T00:00:00Z
MS_Cu,Moss: Schistidium: Copper,NA,%,10114,7,2007-07-30T00:00:00Z,2015-07-21T00:00:00Z
MS_Fe,Moss: Schistidium: Iron,NA,%,10114,7,2007-07-30T00:00:00Z,2015-07-21T00:00:00Z
MS_K,Moss: Schistidium: Potassium,NA,%,10114,7,2007-07-30T00:00:00Z,2015-07-21T00:00:00Z
MS_Mg,Moss: Schistidium: Magnesium,NA,%,10114,7,2007-07-30T00:00:00Z,2015-07-21T00:00:00Z
MS_Mn,Moss: Schistidium: Manganese,NA,%,10114,7,2007-07-30T00:00:00Z,2015-07-21T00:00:00Z
MS_N,Moss: Schistidium: Nitrogen,NA,%,47299,13,1995-07-06T00:00:00Z,2015-07-21T00:00:00Z
MS_Na,Moss: Schistidium: Sodium,NA,%,10114,7,2007-07-30T00:00:00Z,2015-07-21T00:00:00Z
MS_P,Moss: Schistidium: Phosphorus,NA,%,47299,13,1995-07-06T00:00:00Z,2015-07-21T00:00:00Z
MS_S,Moss: Schistidium: Sulfur,NA,%,10114,7,2007-07-30T00:00:00Z,2015-07-21T00:00:00Z
MS_Zn,Moss: Schistidium: Zinc,NA,%,10114,7,2007-07-30T00:00:00Z,2015-07-21T00:00:00Z
Na,Sodium,precip_conc,mg/L,431390,77,1968-10-21T00:00:00Z,2020-12-31T00:00:00Z
Na,Sodium,stream_conc,mg/L,1100928,248,1963-06-02T00:00:00Z,2020-12-02T00:00:00Z
