variable_code,variable_name,chem_category,unit,observations,n_sites,first_record_utc,last_record_utc
Nb,Niobium,precip_conc,mg/L,13,13,2018-06-13T00:00:00Z,2018-06-13T00:00:00Z
Nb,Niobium,stream_conc,mg/L,23871,10,2007-01-31T00:00:00Z,2020-12-02T00:00:00Z
Nd,Neodymium,precip_conc,mg/L,13,13,2018-06-13T00:00:00Z,2018-06-13T00:00:00Z
Nd,Neodymium,stream_conc,mg/L,23871,10,2007-01-31T00:00:00Z,2020-12-02T00:00:00Z
Nd145,Neodymium-145,precip_conc,mg/L,39598,13,2011-03-29T00:00:00Z,2019-07-30T00:00:00Z
Nd145,Neodymium-145,stream_conc,mg/L,36777,9,2005-09-27T00:00:00Z,2019-07-24T00:00:00Z
NH3_N,Ammonia-N,precip_conc,mg/L,104926,14,1968-10-21T00:00:00Z,2017-04-05T00:00:00Z
NH3_N,Ammonia-N,stream_conc,mg/L,57004,22,1968-10-09T00:00:00Z,2019-05-22T00:00:00Z
NH4,Ammonium,precip_conc,mg/L,18433,13,1998-08-05T00:00:00Z,2020-12-31T00:00:00Z
NH4_N,Ammonium-N,precip_conc,mg/L,324293,50,1970-01-08T00:00:00Z,2020-05-19T00:00:00Z
NH4_N,Ammonium-N,stream_conc,mg/L,1055796,220,1964-03-17T00:00:00Z,2020-11-06T00:00:00Z
NH4_NH3_N,Ammonia-N and Ammonium-N,stream_conc,mg/L,509,1,2009-10-24T00:00:00Z,2013-06-27T00:00:00Z
Ni,Nickel,precip_conc,mg/L,13,13,2018-06-13T00:00:00Z,2018-06-13T00:00:00Z
Ni,Nickel,stream_conc,mg/L,98565,36,1993-07-23T00:00:00Z,2020-12-02T00:00:00Z
Ni60,Nickel-60,precip_conc,mg/L,39598,13,2011-03-29T00:00:00Z,2019-07-30T00:00:00Z
Ni60,Nickel-60,stream_conc,mg/L,36777,9,2005-09-27T00:00:00Z,2019-07-24T00:00:00Z
NO2,Nitrite,precip_conc,mg/L,40287,13,2011-03-29T00:00:00Z,2019-09-21T00:00:00Z
NO2,Nitrite,stream_conc,mg/L,45513,26,2005-09-27T00:00:00Z,2020-01-28T00:00:00Z
NO2_N,Nitrite-N,stream_conc,mg/L,213506,42,1993-12-01T00:00:00Z,2014-01-30T00:00:00Z
NO3,Nitrate,precip_conc,mg/L,18433,13,1998-08-05T00:00:00Z,2020-12-31T00:00:00Z
NO3_N,Nitrate-N,precip_conc,mg/L,469395,68,1968-10-21T00:00:00Z,2020-05-19T00:00:00Z
NO3_N,Nitrate-N,stream_conc,mg/L,1084991,222,1964-03-17T00:00:00Z,2020-10-09T00:00:00Z
NO3_NO2_N,Nitrate-N and nitrite-N,stream_conc,mg/L,468714,91,1976-11-04T00:00:00Z,2020-11-03T00:00:00Z
OMAl,Aluminum OM,precip_conc,mg/L,25272,9,2012-09-11T00:00:00Z,2020-05-19T00:00:00Z
OMAl,Aluminum OM,stream_conc,mg/L,25513,10,2013-05-21T00:00:00Z,2020-05-27T00:00:00Z
P,Phosphorus,precip_conc,mg/L,37947,26,2011-08-04T00:00:00Z,2019-07-30T00:00:00Z
P,Phosphorus,stream_conc,mg/L,114549,33,1993-01-18T00:00:00Z,2020-12-02T00:00:00Z
Pb,Lead,precip_conc,mg/L,39598,13,2011-03-29T00:00:00Z,2019-07-30T00:00:00Z
Pb,Lead,stream_conc,mg/L,84354,41,2005-09-27T00:00:00Z,2019-11-21T00:00:00Z
Pd,Palladium,precip_conc,mg/L,13,13,2018-06-13T00:00:00Z,2018-06-13T00:00:00Z
Pd,Palladium,stream_conc,mg/L,69678,13,1993-07-23T00:00:00Z,2020-12-02T00:00:00Z
pH,pH,NA,unitless,1509810,239,1963-06-02T00:00:00Z,2020-12-31T00:00:00Z
phaeopig,Phaeopigment,stream_conc,mg/L,5711,6,2008-06-19T00:00:00Z,2012-07-30T00:00:00Z
pheophy,Sestonic Phaeophytin,stream_conc,mg/L,94135,46,2004-06-21T00:00:00Z,2017-08-26T00:00:00Z
pHmetrohm,pH Metrohm,NA,unitless,21540,11,2017-06-12T00:00:00Z,2020-05-27T00:00:00Z
PO4_P,Phosphate-P,precip_conc,mg/L,360661,64,1968-10-21T00:00:00Z,2020-05-19T00:00:00Z
PO4_P,Phosphate-P,stream_conc,mg/L,676218,172,1968-10-09T00:00:00Z,2020-11-06T00:00:00Z
POC,Particulate Organic Carbon,stream_conc,mg/L,37969,18,1993-06-19T00:00:00Z,2017-12-09T00:00:00Z
PON,Particulate Organic Nitrogen,stream_conc,mg/L,36653,8,1993-06-19T00:00:00Z,2017-12-09T00:00:00Z
Pr,Praseodymium,precip_conc,mg/L,39611,26,2011-03-29T00:00:00Z,2019-07-30T00:00:00Z
Pr,Praseodymium,stream_conc,mg/L,60648,19,2005-09-27T00:00:00Z,2020-12-02T00:00:00Z
precipitation,Precipitation at gauge,NA,mm,1887566,186,1951-05-10T00:00:00Z,2021-07-01T00:00:00Z
Pt,Platinum,stream_conc,mg/L,6103,9,2010-02-10T00:00:00Z,2020-12-02T00:00:00Z
Rb,Rubidium,precip_conc,mg/L,13,13,2018-06-13T00:00:00Z,2018-06-13T00:00:00Z
Rb,Rubidium,stream_conc,mg/L,79462,28,2003-03-26T00:00:00Z,2020-12-02T00:00:00Z
Re,Rhenium,precip_conc,mg/L,13,13,2018-06-13T00:00:00Z,2018-06-13T00:00:00Z
Re,Rhenium,stream_conc,mg/L,23871,10,2007-01-31T00:00:00Z,2020-12-02T00:00:00Z
Rh,Rhodium,precip_conc,mg/L,13,13,2018-06-13T00:00:00Z,2018-06-13T00:00:00Z
Rh,Rhodium,stream_conc,mg/L,8193,9,2016-12-06T00:00:00Z,2019-12-09T00:00:00Z
Ru,Ruthenium,precip_conc,mg/L,13,13,2018-06-13T00:00:00Z,2018-06-13T00:00:00Z
S,Sulfer,precip_conc,mg/L,13,13,2018-06-13T00:00:00Z,2018-06-13T00:00:00Z
S,Sulfer,stream_conc,mg/L,110275,22,1993-01-18T00:00:00Z,2020-12-02T00:00:00Z
Sb,Antimony,precip_conc,mg/L,39611,26,2011-03-29T00:00:00Z,2019-07-30T00:00:00Z
Sb,Antimony,stream_conc,mg/L,81958,34,2005-09-27T00:00:00Z,2020-12-02T00:00:00Z
Sc,Scandium,precip_conc,mg/L,13,13,2018-06-13T00:00:00Z,2018-06-13T00:00:00Z
Sc,Scandium,stream_conc,mg/L,46312,11,2003-03-13T00:00:00Z,2020-12-02T00:00:00Z
Se,Selenium,precip_conc,mg/L,13,13,2018-06-13T00:00:00Z,2018-06-13T00:00:00Z
Se,Selenium,stream_conc,mg/L,53532,25,1997-03-24T00:00:00Z,2020-12-02T00:00:00Z
Se78,Selenium-78,precip_conc,mg/L,39598,13,2011-03-29T00:00:00Z,2019-07-30T00:00:00Z
Se78,Selenium-78,stream_conc,mg/L,36777,9,2005-09-27T00:00:00Z,2019-07-24T00:00:00Z
Si,Silicon,precip_conc,mg/L,159421,44,1969-10-07T00:00:00Z,2019-07-30T00:00:00Z
Si,Silicon,stream_conc,mg/L,550329,159,1969-10-07T00:00:00Z,2020-12-02T00:00:00Z
SiO2_Si,Silica-Si,precip_conc,mg/L,221545,16,1971-06-29T00:00:00Z,2020-05-19T00:00:00Z
SiO2_Si,Silica-Si,stream_conc,mg/L,282240,37,1963-06-02T00:00:00Z,2020-05-27T00:00:00Z
SiO3_Si,Silicate-Si,stream_conc,mg/L,404,3,1989-10-13T00:00:00Z,1990-05-30T00:00:00Z
Sm,Samarium,precip_conc,mg/L,37947,26,2011-08-04T00:00:00Z,2019-07-30T00:00:00Z
Sm,Samarium,stream_conc,mg/L,23871,10,2007-01-31T00:00:00Z,2020-12-02T00:00:00Z
Sm147,Samarium-147,precip_conc,mg/L,38285,13,2011-03-29T00:00:00Z,2019-04-20T00:00:00Z
Sm147,Samarium-147,stream_conc,mg/L,36777,9,2005-09-27T00:00:00Z,2019-07-24T00:00:00Z
Sn,Tin,precip_conc,mg/L,13,13,2018-06-13T00:00:00Z,2018-06-13T00:00:00Z
Sn,Tin,stream_conc,mg/L,45181,25,2007-01-31T00:00:00Z,2020-12-02T00:00:00Z
Sn118,Tin-118,precip_conc,mg/L,39598,13,2011-03-29T00:00:00Z,2019-07-30T00:00:00Z
Sn118,Tin-118,stream_conc,mg/L,36777,9,2005-09-27T00:00:00Z,2019-07-24T00:00:00Z
SO4,Sulfate,precip_conc,mg/L,18433,13,1998-08-05T00:00:00Z,2020-12-31T00:00:00Z
SO4,Sulfate,stream_conc,mg/L,38321,27,2012-02-01T00:00:00Z,2020-03-20T00:00:00Z
SO4_S,Sulfate-S,precip_conc,mg/L,387660,51,1970-01-08T00:00:00Z,2020-05-19T00:00:00Z
SO4_S,Sulfate-S,stream_conc,mg/L,1064738,234,1964-03-17T00:00:00Z,2020-11-06T00:00:00Z
spCond,Specific Conductivity,NA,uS/cm,1431004,271,1965-06-22T00:00:00Z,2021-07-27T00:00:00Z
Sr,Strontium,precip_conc,mg/L,38298,26,2011-03-29T00:00:00Z,2019-04-20T00:00:00Z
Sr,Strontium,stream_conc,mg/L,132515,50,2003-03-13T00:00:00Z,2020-12-02T00:00:00Z
SRP,Soluble Reactive Phosphorus,precip_conc,mg/L,48932,4,1986-05-30T00:00:00Z,2019-11-25T00:00:00Z
SRP,Soluble Reactive Phosphorus,stream_conc,mg/L,608625,102,1983-07-09T00:00:00Z,2019-10-01T00:00:00Z
suspSed,Suspended Sediment,precip_conc,mg/L,106506,14,1968-12-09T00:00:00Z,2017-04-05T00:00:00Z
suspSed,Suspended Sediment,stream_conc,mg/L,60362,17,1968-10-09T00:00:00Z,2019-05-22T00:00:00Z
T_ECHL,Epilithic Total Chlorophyll,NA,mg/cm2,200443,32,1983-07-22T00:00:00Z,2015-08-12T00:00:00Z
Ta,Tantalum,stream_conc,mg/L,2,2,2007-07-02T00:00:00Z,2014-06-24T00:00:00Z
Tb,Terbium,precip_conc,mg/L,39611,26,2011-03-29T00:00:00Z,2019-07-30T00:00:00Z
Tb,Terbium,stream_conc,mg/L,60648,19,2005-09-27T00:00:00Z,2020-12-02T00:00:00Z
TC,Total Carbon,stream_conc,mg/L,20286,17,2014-07-18T00:00:00Z,2018-12-12T00:00:00Z
TCHL,Sestonic Total Chlorophyll,stream_conc,mg/L,223753,47,1983-07-22T00:00:00Z,2015-08-08T00:00:00Z
TDN,Total Dissolved Nitrogen,precip_conc,mg/L,169611,23,1968-10-21T00:00:00Z,2020-05-19T00:00:00Z
TDN,Total Dissolved Nitrogen,stream_conc,mg/L,556255,158,1968-10-09T00:00:00Z,2020-11-06T00:00:00Z
TDP,Total Dissolved Phosphorus,precip_conc,mg/L,146498,25,1968-10-21T00:00:00Z,2017-04-05T00:00:00Z
TDP,Total Dissolved Phosphorus,stream_conc,mg/L,410222,144,1968-10-09T00:00:00Z,2020-11-06T00:00:00Z
TDS,Total Dissolved Solids,stream_conc,mg/L,39724,32,2012-02-01T00:00:00Z,2020-03-20T00:00:00Z
Te,Tellurium,precip_conc,mg/L,13,13,2018-06-13T00:00:00Z,2018-06-13T00:00:00Z
Te,Tellurium,stream_conc,mg/L,1,1,2018-03-15T00:00:00Z,2018-03-15T00:00:00Z
temp,Water Temperature,NA,degrees C,952136,183,1963-06-26T00:00:00Z,2021-07-27T00:00:00Z
Th,Thorium,precip_conc,mg/L,13,13,2018-06-13T00:00:00Z,2018-06-13T00:00:00Z
Th,Thorium,stream_conc,mg/L,45181,25,2007-01-31T00:00:00Z,2020-12-02T00:00:00Z
Ti,Titanium,precip_conc,mg/L,13,13,2018-06-13T00:00:00Z,2018-06-13T00:00:00Z
Ti,Titanium,stream_conc,mg/L,90687,28,2003-03-13T00:00:00Z,2020-12-02T00:00:00Z
Ti49,Titanium-49,precip_conc,mg/L,39598,13,2011-03-29T00:00:00Z,2019-07-30T00:00:00Z
Ti49,Titanium-49,stream_conc,mg/L,36777,9,2005-09-27T00:00:00Z,2019-07-24T00:00:00Z
TIC,Total Inorganic Carbon,precip_conc,mg/L,40885,13,2011-02-11T00:00:00Z,2019-09-21T00:00:00Z
TIC,Total Inorganic Carbon,stream_conc,mg/L,43515,12,2005-09-27T00:00:00Z,2020-01-28T00:00:00Z
TIN,Total Inorganic Nitrogen,stream_conc,mg/L,41395,25,1994-01-12T00:00:00Z,2020-11-06T00:00:00Z
TIP,Total Inorganic Phosphorus,precip_conc,mg/L,160,4,2011-06-21T00:00:00Z,2011-07-30T00:00:00Z
TIP,Total Inorganic Phosphorus,stream_conc,mg/L,23966,25,1997-05-30T00:00:00Z,2020-11-06T00:00:00Z
TKN,Total Kjeldahl Nitrogen,precip_conc,mg/L,77306,14,1968-10-21T00:00:00Z,2005-05-10T00:00:00Z
TKN,Total Kjeldahl Nitrogen,stream_conc,mg/L,55767,18,1968-10-09T00:00:00Z,2005-05-10T00:00:00Z
Tl,Thallium,precip_conc,mg/L,39611,26,2011-03-29T00:00:00Z,2019-07-30T00:00:00Z
Tl,Thallium,stream_conc,mg/L,55445,19,2006-03-14T00:00:00Z,2020-12-02T00:00:00Z
Tm,Thulium,precip_conc,mg/L,39611,26,2011-03-29T00:00:00Z,2019-07-30T00:00:00Z
Tm,Thulium,stream_conc,mg/L,60648,19,2005-09-27T00:00:00Z,2020-12-02T00:00:00Z
TMAl,Aluminum TM,precip_conc,mg/L,40644,9,2008-01-08T00:00:00Z,2020-05-19T00:00:00Z
TMAl,Aluminum TM,stream_conc,mg/L,26262,10,2011-05-03T00:00:00Z,2020-05-27T00:00:00Z
TN,Total Nitrogen,precip_conc,mg/L,41054,26,1998-04-26T00:00:00Z,2019-09-21T00:00:00Z
TN,Total Nitrogen,stream_conc,mg/L,295532,93,1985-03-13T00:00:00Z,2021-04-22T00:00:00Z
TOC,Total Organic Carbon,precip_conc,mg/L,40885,13,2011-02-11T00:00:00Z,2019-09-21T00:00:00Z
TOC,Total Organic Carbon,stream_conc,mg/L,169149,67,1985-07-11T00:00:00Z,2020-10-29T00:00:00Z
TP,Total Phosphorus,precip_conc,mg/L,9588,4,2008-03-18T00:00:00Z,2017-12-12T00:00:00Z
TP,Total Phosphorus,stream_conc,mg/L,235331,81,1989-09-06T00:00:00Z,2020-03-20T00:00:00Z
TPC,Total Particulate Carbon,stream_conc,mg/L,140147,74,1994-06-24T00:00:00Z,2019-12-20T00:00:00Z
TPN,Total Particulate Nitrogen,precip_conc,mg/L,67088,14,1978-06-22T00:00:00Z,2019-05-22T00:00:00Z
TPN,Total Particulate Nitrogen,stream_conc,mg/L,146309,75,1978-06-16T00:00:00Z,2019-05-22T00:00:00Z
TPP,Total Particulate Phosphorus,precip_conc,mg/L,134818,18,1974-10-30T00:00:00Z,2019-12-30T00:00:00Z
TPP,Total Particulate Phosphorus,stream_conc,mg/L,281676,88,1974-10-01T00:00:00Z,2019-05-22T00:00:00Z
TSS,Total Suspended Solids,stream_conc,mg/L,258225,80,1983-06-03T00:00:00Z,2020-08-11T00:00:00Z
turbid,Turbidity,NA,FNU,62746,14,2001-10-03T00:00:00Z,2021-07-27T00:00:00Z
U,Uranium,precip_conc,mg/L,39611,26,2011-03-29T00:00:00Z,2019-07-30T00:00:00Z
U,Uranium,stream_conc,mg/L,82390,34,2005-09-27T00:00:00Z,2020-12-02T00:00:00Z
UTKN,Unfilt. Total Kjeldahl Nitrogen,precip_conc,mg/L,49058,14,1978-06-22T00:00:00Z,2005-05-10T00:00:00Z
UTKN,Unfilt. Total Kjeldahl Nitrogen,stream_conc,mg/L,20690,16,1978-06-16T00:00:00Z,2011-06-17T00:00:00Z
UTN,Unfiltered Total Nitrogen,precip_conc,mg/L,60630,10,1978-06-28T00:00:00Z,2017-04-05T00:00:00Z
UTN,Unfiltered Total Nitrogen,stream_conc,mg/L,23821,9,1978-06-28T00:00:00Z,2019-05-22T00:00:00Z
UTP,Unfiltered Total Phosphorus,precip_conc,mg/L,87982,14,1974-10-30T00:00:00Z,2017-04-05T00:00:00Z
UTP,Unfiltered Total Phosphorus,stream_conc,mg/L,43437,17,1974-10-01T00:00:00Z,2019-05-22T00:00:00Z
V,Vanadium,precip_conc,mg/L,38298,26,2011-03-29T00:00:00Z,2019-04-20T00:00:00Z
V,Vanadium,stream_conc,mg/L,82454,35,2005-09-27T00:00:00Z,2020-12-02T00:00:00Z
VSS,Volatile Suspended Sediment,stream_conc,mg/L,12262,3,2009-05-07T00:00:00Z,2020-08-11T00:00:00Z
W,Tungsten,precip_conc,mg/L,13,13,2018-06-13T00:00:00Z,2018-06-13T00:00:00Z
W,Tungsten,stream_conc,mg/L,23871,10,2007-01-31T00:00:00Z,2020-12-02T00:00:00Z
Y,Yttrium,precip_conc,mg/L,39611,26,2011-03-29T00:00:00Z,2019-07-30T00:00:00Z
Y,Yttrium,stream_conc,mg/L,106122,22,2003-03-13T00:00:00Z,2020-12-02T00:00:00Z
Yb,Ytterbium,precip_conc,mg/L,39611,26,2011-03-29T00:00:00Z,2019-07-30T00:00:00Z
Yb,Ytterbium,stream_conc,mg/L,79923,21,2003-03-30T00:00:00Z,2020-12-02T00:00:00Z
Zn,Zinc,precip_conc,mg/L,39611,26,2011-03-29T00:00:00Z,2019-07-30T00:00:00Z
Zn,Zinc,stream_conc,mg/L,171123,51,1993-01-18T00:00:00Z,2020-12-02T00:00:00Z
Zr,Zirconium,precip_conc,mg/L,13,13,2018-06-13T00:00:00Z,2018-06-13T00:00:00Z
Zr,Zirconium,stream_conc,mg/L,75932,28,2003-03-26T00:00:00Z,2020-12-02T00:00:00Z
